question_type,distribution,answer,count,share_of_type,sample_count,most_frequent_prediction,most_frequent_prediction_count,majority_ground_truth_label,majority_baseline_accuracy,observed_accuracy,exceeds_majority_baseline
comp,ground_truth,no,11,0.7333333333333333,15,no,8,no,0.7333333333333333,0.4,False
comp,ground_truth,yes,4,0.26666666666666666,15,no,8,no,0.7333333333333333,0.4,False
comp,prediction,no,8,0.5333333333333333,15,no,8,no,0.7333333333333333,0.4,False
comp,prediction,yes,1,0.06666666666666667,15,no,8,no,0.7333333333333333,0.4,False
comp,null_ground_truth,no,4,0.26666666666666666,15,no,8,no,0.7333333333333333,0.4,False
comp,null_ground_truth,yes,2,0.13333333333333333,15,no,8,no,0.7333333333333333,0.4,False
count,ground_truth,0,6,0.4,15,0,13,0,0.4,0.4,False
count,ground_truth,10,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,2,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,20,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,246,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,27,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,33,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,3428,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,4,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,ground_truth,8,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,prediction,0,13,0.8666666666666667,15,0,13,0,0.4,0.4,False
count,null_ground_truth,20,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
count,null_ground_truth,246,1,0.06666666666666667,15,0,13,0,0.4,0.4,False
presence,ground_truth,no,6,0.4,15,yes,8,yes,0.6,0.3333333333333333,False
presence,ground_truth,yes,9,0.6,15,yes,8,yes,0.6,0.3333333333333333,False
presence,prediction,yes,8,0.5333333333333333,15,yes,8,yes,0.6,0.3333333333333333,False
presence,null_ground_truth,no,3,0.2,15,yes,8,yes,0.6,0.3333333333333333,False
presence,null_ground_truth,yes,4,0.26666666666666666,15,yes,8,yes,0.6,0.3333333333333333,False
rural_urban,ground_truth,rural,1,0.2,5,rural,4,urban,0.8,0.4,False
rural_urban,ground_truth,urban,4,0.8,5,rural,4,urban,0.8,0.4,False
rural_urban,prediction,rural,4,0.8,5,rural,4,urban,0.8,0.4,False
rural_urban,prediction,urban,1,0.2,5,rural,4,urban,0.8,0.4,False
rural_urban,null_ground_truth,<none>,0,0.0,5,rural,4,urban,0.8,0.4,False
