manifest_index,question_id,image_id,question_type,question,normalized_ground_truth,normalized_prediction,answer,outcome,confidence,task,status,result_status,latency_ms,wording_pattern,target_1,target_2,target_details,relation,failure_category,failure_evidence
1,30059,300,comp,Is the number of roads equal to the number of commercial buildings?,no,yes,yes,WRONG,0.0,comparison_vqa,partial,COMPLETED,4851.0,equal/same,roads,commercial buildings,"[""roads"", ""commercial buildings""]",equal/same,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
5,30807,307,comp,Are there less medium buildings than grass areas?,yes,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1341.0,less/fewer,buildings,grass,"[""buildings"", ""grass""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
6,32705,326,comp,Are there less water areas than roads?,yes,no,no,WRONG,0.0,comparison_vqa,partial,COMPLETED,2331.0,less/fewer,water,roads,"[""water"", ""roads""]",less/fewer,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
7,26824,268,count,What is the number of medium commercial buildings in the image?,10,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1317.0,number of,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
8,29666,296,presence,Is there a heath?,yes,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,459.0,is there,heath,,"[""heath""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
11,29658,296,comp,Is the number of buildings equal to the number of forests?,no,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,923.0,equal/same,buildings,forest,"[""buildings"", ""forest""]",equal/same,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
12,30204,301,presence,Is there a square building?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,486.0,is there,buildings,,"[""buildings""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
13,29114,291,count,What is the number of roads?,33,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1332.0,number of,roads,,"[""roads""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
14,33052,330,count,What is the number of medium residential buildings?,27,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1324.0,number of,residential buildings,,"[""residential buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
16,25400,253,presence,Is there a rectangular road?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,467.0,is there,roads,,"[""roads""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
19,29804,297,count,What is the number of small residential buildings?,3428,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1327.0,number of,residential buildings,,"[""residential buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
20,26196,261,comp,Are there less forests than commercial buildings?,no,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1340.0,less/fewer,forest,commercial buildings,"[""forest"", ""commercial buildings""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
21,29458,294,count,How many forests are there?,20,,,NULL,0.25,count_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,464.0,how many,forest,,"[""forest""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
22,25808,258,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,78.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
23,26908,269,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,458.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
24,26429,264,count,How many grass areas are there?,246,,,NULL,0.25,count_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,477.0,how many,grass,,"[""grass""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
25,28457,284,presence,Is there a circular road?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,473.0,is there,roads,,"[""roads""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
26,30936,309,count,How many commercial buildings are there?,8,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,963.0,how many,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
28,24219,242,presence,Is a commercial building present?,yes,,"Built-up or structurally complex regions are likely present, with heuristic support over approximately 18.4% of valid pixels. Buildings are not confirmed.",NULL,0.5,vqa,success,COMPLETED,461.0,visible/can you see,commercial buildings,,"[""commercial buildings""]",,routing failure,Stored task was vqa; expected presence_vqa for manifest type presence.
29,24397,243,presence,Is there a wetland?,yes,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,465.0,is there,other,,"[""wetland""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
30,31206,311,comp,Are there less residential buildings than circular scrubs?,no,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1334.0,less/fewer,residential buildings,other,"[""residential buildings"", ""scrub""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
32,23410,234,count,What is the number of commercial buildings?,2,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1327.0,number of,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
34,30001,299,comp,Are there more commercial buildings than water areas?,yes,no,no,WRONG,0.0,comparison_vqa,partial,COMPLETED,2245.0,more/greater,commercial buildings,water,"[""commercial buildings"", ""water""]",more/greater,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
35,30137,301,comp,Is the number of forests equal to the number of roads in the image?,no,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,936.0,equal/same,forest,roads,"[""forest"", ""roads""]",equal/same,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
38,27648,276,presence,Is a rectangular water area present?,yes,,No substantial water-like region was detected by the current visible-spectrum baseline.,NULL,0.5,vqa,success,COMPLETED,474.0,visible/can you see,water,,"[""water""]",,routing failure,Stored task was vqa; expected presence_vqa for manifest type presence.
40,25351,253,count,What is the amount of medium water areas?,4,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,971.0,amount of,water,,"[""water""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
42,29461,294,presence,Is there a rectangular industrial?,no,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,80.0,is there,other,,"[""industrial""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
43,27508,275,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,457.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
47,23533,235,presence,Is a circular scrub present?,no,,,NULL,0.0,unsupported,not_implemented,UNSUPPORTED_TASK,438.0,visible/can you see,other,,"[""scrub""]",,routing failure,Stored task was unsupported; expected presence_vqa for manifest type presence.
49,28236,282,presence,Is a large road present in the image?,no,,,NULL,0.0,unsupported,not_implemented,UNSUPPORTED_TASK,412.0,visible/can you see,roads,,"[""roads""]",,routing failure,Stored task was unsupported; expected presence_vqa for manifest type presence.
50,23777,237,comp,Are there more grass areas than roads?,yes,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1314.0,more/greater,grass,roads,"[""grass"", ""roads""]",more/greater,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
