question_id,image_id,question_type,question,ground_truth,v1_prediction,v2_prediction,v1_correct,v2_correct,v1_status,v2_status,change
30059,300,comp,Is the number of roads equal to the number of commercial buildings?,no,yes,no,False,True,partial,success,fixed
31611,316,rural_urban,Is it a rural or an urban area,rural,rural,rural,True,True,success,success,unchanged_correct
25837,258,count,What is the amount of medium roads next to a  water area?,0,0,0,True,True,partial,success,unchanged_correct
30957,309,comp,Are there less buildings than roads?,no,no,no,True,True,partial,success,unchanged_correct
30807,307,comp,Are there less medium buildings than grass areas?,yes,,yes,False,True,insufficient_evidence,success,fixed
32705,326,comp,Are there less water areas than roads?,yes,no,yes,False,True,partial,success,fixed
26824,268,count,What is the number of medium commercial buildings in the image?,10,0,0,False,False,partial,success,unchanged_wrong_or_null
29666,296,presence,Is there a heath?,yes,,yes,False,True,insufficient_evidence,success,fixed
23945,239,count,How many large commercial buildings are there?,0,0,0,True,True,partial,success,unchanged_correct
25064,250,count,How many rectangular roads are there?,0,0,0,True,True,partial,success,unchanged_correct
29658,296,comp,Is the number of buildings equal to the number of forests?,no,,no,False,True,insufficient_evidence,success,fixed
30204,301,presence,Is there a square building?,no,yes,no,False,True,partial,success,fixed
29114,291,count,What is the number of roads?,33,0,40,False,False,partial,success,unchanged_wrong_or_null
33052,330,count,What is the number of medium residential buildings?,27,0,9,False,False,partial,success,unchanged_wrong_or_null
31476,314,count,How many rectangular roads are there?,0,0,0,True,True,partial,success,unchanged_correct
25400,253,presence,Is there a rectangular road?,no,yes,no,False,True,partial,success,fixed
27827,278,presence,Is there a building?,yes,yes,yes,True,True,partial,success,unchanged_correct
32302,322,comp,Are there more large roads than water areas?,no,no,no,True,True,partial,success,unchanged_correct
29804,297,count,What is the number of small residential buildings?,3428,0,201+,False,True,partial,success,fixed
26196,261,comp,Are there less forests than commercial buildings?,no,,no,False,True,insufficient_evidence,success,fixed
29458,294,count,How many forests are there?,20,,53,False,False,insufficient_evidence,success,newly_answered_wrong
25808,258,rural_urban,Is it a rural or an urban area,urban,rural,urban,False,True,success,success,fixed
26908,269,rural_urban,Is it a rural or an urban area,urban,rural,urban,False,True,success,success,fixed
26429,264,count,How many grass areas are there?,246,,201+,False,True,insufficient_evidence,success,fixed
28457,284,presence,Is there a circular road?,no,yes,no,False,True,partial,success,fixed
30936,309,count,How many commercial buildings are there?,8,0,3,False,False,partial,success,unchanged_wrong_or_null
30988,309,comp,Are there more roads than buildings?,no,no,no,True,True,partial,success,unchanged_correct
24219,242,presence,Is a commercial building present?,yes,,yes,False,True,success,success,fixed
24397,243,presence,Is there a wetland?,yes,,yes,False,True,insufficient_evidence,success,fixed
31206,311,comp,Are there less residential buildings than circular scrubs?,no,,no,False,True,insufficient_evidence,success,fixed
26377,263,count,What is the number of large roads?,0,0,0,True,True,partial,success,unchanged_correct
23410,234,count,What is the number of commercial buildings?,2,0,4,False,False,partial,success,unchanged_wrong_or_null
32611,326,rural_urban,Is it a rural or an urban area,urban,urban,urban,True,True,partial,success,unchanged_correct
30001,299,comp,Are there more commercial buildings than water areas?,yes,no,no,False,False,partial,success,unchanged_wrong_or_null
30137,301,comp,Is the number of forests equal to the number of roads in the image?,no,,no,False,True,insufficient_evidence,success,fixed
30715,307,presence,Is there a grass area?,yes,yes,yes,True,True,partial,success,unchanged_correct
32661,326,count,What is the number of rectangular roads?,0,0,0,True,True,partial,success,unchanged_correct
27648,276,presence,Is a rectangular water area present?,yes,,yes,False,True,success,success,fixed
30433,304,presence,Is there a small grass area?,yes,yes,yes,True,True,partial,success,unchanged_correct
25351,253,count,What is the amount of medium water areas?,4,0,8,False,False,partial,success,unchanged_wrong_or_null
29390,293,comp,Are there less commercial buildings than water areas?,no,no,no,True,True,partial,success,unchanged_correct
29461,294,presence,Is there a rectangular industrial?,no,,yes,False,False,insufficient_evidence,success,newly_answered_wrong
27508,275,rural_urban,Is it a rural or an urban area,urban,rural,urban,False,True,success,success,fixed
31412,314,presence,Is there a commercial building in the image?,yes,yes,yes,True,True,partial,success,unchanged_correct
29023,290,presence,Is there a medium grass area?,yes,yes,yes,True,True,partial,success,unchanged_correct
27760,277,comp,Are there more square buildings than commercial buildings?,no,no,no,True,True,partial,success,unchanged_correct
23533,235,presence,Is a circular scrub present?,no,,no,False,True,not_implemented,success,fixed
32033,320,comp,Are there more water areas than buildings?,no,no,no,True,True,partial,success,unchanged_correct
28236,282,presence,Is a large road present in the image?,no,,no,False,True,not_implemented,success,fixed
23777,237,comp,Are there more grass areas than roads?,yes,,no,False,False,insufficient_evidence,success,newly_answered_wrong
