manifest_index,question_id,image_id,question_type,question,normalized_ground_truth,normalized_prediction,answer,outcome,confidence,task,status,result_status,latency_ms,wording_pattern,target_1,target_2,target_details,relation,failure_category,failure_evidence
5,30807,307,comp,Are there less medium buildings than grass areas?,yes,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1341.0,less/fewer,buildings,grass,"[""buildings"", ""grass""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
8,29666,296,presence,Is there a heath?,yes,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,459.0,is there,heath,,"[""heath""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
11,29658,296,comp,Is the number of buildings equal to the number of forests?,no,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,923.0,equal/same,buildings,forest,"[""buildings"", ""forest""]",equal/same,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
20,26196,261,comp,Are there less forests than commercial buildings?,no,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1340.0,less/fewer,forest,commercial buildings,"[""forest"", ""commercial buildings""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
21,29458,294,count,How many forests are there?,20,,,NULL,0.25,count_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,464.0,how many,forest,,"[""forest""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
24,26429,264,count,How many grass areas are there?,246,,,NULL,0.25,count_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,477.0,how many,grass,,"[""grass""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
28,24219,242,presence,Is a commercial building present?,yes,,"Built-up or structurally complex regions are likely present, with heuristic support over approximately 18.4% of valid pixels. Buildings are not confirmed.",NULL,0.5,vqa,success,COMPLETED,461.0,visible/can you see,commercial buildings,,"[""commercial buildings""]",,routing failure,Stored task was vqa; expected presence_vqa for manifest type presence.
29,24397,243,presence,Is there a wetland?,yes,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,465.0,is there,other,,"[""wetland""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
30,31206,311,comp,Are there less residential buildings than circular scrubs?,no,,,NULL,0.0,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1334.0,less/fewer,residential buildings,other,"[""residential buildings"", ""scrub""]",less/fewer,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
35,30137,301,comp,Is the number of forests equal to the number of roads in the image?,no,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,936.0,equal/same,forest,roads,"[""forest"", ""roads""]",equal/same,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
38,27648,276,presence,Is a rectangular water area present?,yes,,No substantial water-like region was detected by the current visible-spectrum baseline.,NULL,0.5,vqa,success,COMPLETED,474.0,visible/can you see,water,,"[""water""]",,routing failure,Stored task was vqa; expected presence_vqa for manifest type presence.
42,29461,294,presence,Is there a rectangular industrial?,no,,,NULL,0.5,presence_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,80.0,is there,other,,"[""industrial""]",,unsupported target or vocabulary,Target wording has no persisted count/presence answer and no supported evidence path is recorded.
47,23533,235,presence,Is a circular scrub present?,no,,,NULL,0.0,unsupported,not_implemented,UNSUPPORTED_TASK,438.0,visible/can you see,other,,"[""scrub""]",,routing failure,Stored task was unsupported; expected presence_vqa for manifest type presence.
49,28236,282,presence,Is a large road present in the image?,no,,,NULL,0.0,unsupported,not_implemented,UNSUPPORTED_TASK,412.0,visible/can you see,roads,,"[""roads""]",,routing failure,Stored task was unsupported; expected presence_vqa for manifest type presence.
50,23777,237,comp,Are there more grass areas than roads?,yes,,,NULL,0.25,comparison_vqa,insufficient_evidence,INSUFFICIENT_EVIDENCE,1314.0,more/greater,grass,roads,"[""grass"", ""roads""]",more/greater,comparison operand unavailable,Comparison returned insufficient evidence; persisted artifacts do not contain both operand counts.
