manifest_index,question_id,image_id,question_type,question,normalized_ground_truth,normalized_prediction,answer,outcome,confidence,task,status,result_status,latency_ms,wording_pattern,target_1,target_2,target_details,relation,failure_category,failure_evidence
1,30059,300,comp,Is the number of roads equal to the number of commercial buildings?,no,yes,yes,WRONG,0.0,comparison_vqa,partial,COMPLETED,4851.0,equal/same,roads,commercial buildings,"[""roads"", ""commercial buildings""]",equal/same,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
6,32705,326,comp,Are there less water areas than roads?,yes,no,no,WRONG,0.0,comparison_vqa,partial,COMPLETED,2331.0,less/fewer,water,roads,"[""water"", ""roads""]",less/fewer,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
7,26824,268,count,What is the number of medium commercial buildings in the image?,10,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1317.0,number of,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
12,30204,301,presence,Is there a square building?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,486.0,is there,buildings,,"[""buildings""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
13,29114,291,count,What is the number of roads?,33,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1332.0,number of,roads,,"[""roads""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
14,33052,330,count,What is the number of medium residential buildings?,27,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1324.0,number of,residential buildings,,"[""residential buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
16,25400,253,presence,Is there a rectangular road?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,467.0,is there,roads,,"[""roads""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
19,29804,297,count,What is the number of small residential buildings?,3428,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1327.0,number of,residential buildings,,"[""residential buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
22,25808,258,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,78.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
23,26908,269,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,458.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
25,28457,284,presence,Is there a circular road?,no,yes,yes,WRONG,0.25,presence_vqa,partial,COMPLETED,473.0,is there,roads,,"[""roads""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
26,30936,309,count,How many commercial buildings are there?,8,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,963.0,how many,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
32,23410,234,count,What is the number of commercial buildings?,2,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,1327.0,number of,commercial buildings,,"[""commercial buildings""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
34,30001,299,comp,Are there more commercial buildings than water areas?,yes,no,no,WRONG,0.0,comparison_vqa,partial,COMPLETED,2245.0,more/greater,commercial buildings,water,"[""commercial buildings"", ""water""]",more/greater,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
40,25351,253,count,What is the amount of medium water areas?,4,0,0,WRONG,0.0,count_vqa,partial,COMPLETED,971.0,amount of,water,,"[""water""]",,grounding returned zero regions,Persisted warnings report no reliable localized region for one or more required entities.
43,27508,275,rural_urban,Is it a rural or an urban area,urban,rural,rural,WRONG,0.5,rural_urban_classification,success,COMPLETED,457.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,model prediction error,"Routing and answer domain were valid, but the persisted normalized token differs from the label."
