question_id,image_id,question_type,question,wording_pattern,canonical_target,ground_truth,prediction,confidence,confidence_range,count_bucket,model_used,fallback_used,endpoint_error
23210,232,count,What is the number of roads?,number-of,road,403,201+,0.9185855984687805,0.90-1.00,201+,RSVQA Specialist v1,False,
23217,232,count,What is the amount of farmlands?,amount-of,agriculture,47,48,0.041568201035261154,0.00-0.49,21-50,RSVQA Specialist v1,False,
23218,232,count,How many grass areas are there?,how-many,grassland,163,201+,0.223606675863266,0.00-0.49,101-200,RSVQA Specialist v1,False,
23219,232,count,What is the amount of residential buildings?,amount-of,building,2392,201+,0.9980165958404541,0.90-1.00,201+,RSVQA Specialist v1,False,
23221,232,count,What is the number of buildings?,number-of,building,2590,201+,0.9966583251953125,0.90-1.00,201+,RSVQA Specialist v1,False,
23222,232,count,What is the number of water areas in the image?,number-of,water,84,31,0.09576213359832764,0.00-0.49,51-100,RSVQA Specialist v1,False,
23224,232,comp,Are there more water areas than small commercial buildings?,more-than,water vs building,yes,no,0.5122256278991699,0.50-0.74,n/a,RSVQA Specialist v1,False,
23231,232,count,What is the number of rectangular commercial buildings?,number-of,building,18,7,0.09258028864860535,0.00-0.49,11-20,RSVQA Specialist v1,False,
23237,232,count,What is the amount of square buildings?,amount-of,building,6,0,0.6334008574485779,0.50-0.74,6-10,RSVQA Specialist v1,False,
23239,232,count,What is the number of orchards?,number-of,scene,22,13,0.17978538572788239,0.00-0.49,21-50,RSVQA Specialist v1,False,
23240,232,count,What is the amount of commercial buildings?,amount-of,building,41,20,0.06861131638288498,0.00-0.49,21-50,RSVQA Specialist v1,False,
23241,232,presence,Is a square building present?,present,building,yes,no,0.5847365856170654,0.50-0.74,n/a,RSVQA Specialist v1,False,
23242,232,count,How many small residential buildings are there?,how-many,building,2384,201+,0.9961309432983398,0.90-1.00,201+,RSVQA Specialist v1,False,
23243,232,count,What is the amount of square water areas?,amount-of,water,1,0,0.9329361319541931,0.90-1.00,1,RSVQA Specialist v1,False,
23245,232,count,How many small farmlands are there in the image?,how-many,agriculture,1,0,0.8400461673736572,0.75-0.89,1,RSVQA Specialist v1,False,
23249,232,presence,Is there a circular building?,is-there,building,yes,no,0.6000138521194458,0.50-0.74,n/a,RSVQA Specialist v1,False,
23251,232,presence,Is there a circular water area?,is-there,water,yes,no,0.8901655077934265,0.75-0.89,n/a,RSVQA Specialist v1,False,
23258,232,count,How many forests are there?,how-many,forest,25,48,0.05256280303001404,0.00-0.49,21-50,RSVQA Specialist v1,False,
23259,232,count,How many pitchs are there?,how-many,scene,10,3,0.2273094803094864,0.00-0.49,6-10,RSVQA Specialist v1,False,
23260,232,count,What is the number of residential areas?,number-of,scene,1,3,0.2649349570274353,0.00-0.49,1,RSVQA Specialist v1,False,
23266,232,count,How many small roads are there?,how-many,road,403,201+,0.8470059633255005,0.75-0.89,201+,RSVQA Specialist v1,False,
23273,232,count,What is the number of rectangular farmlands?,number-of,agriculture,6,1,0.2472105622291565,0.00-0.49,6-10,RSVQA Specialist v1,False,
23278,232,count,What is the number of rectangular water areas?,number-of,water,27,8,0.16706882417201996,0.00-0.49,21-50,RSVQA Specialist v1,False,
23287,232,count,What is the amount of medium residential buildings?,amount-of,building,7,8,0.10776181519031525,0.00-0.49,6-10,RSVQA Specialist v1,False,
23292,232,count,What is the amount of circular residential buildings in the image?,amount-of,building,6,0,0.6111607551574707,0.50-0.74,6-10,RSVQA Specialist v1,False,
23300,232,count,What is the amount of rectangular residential buildings in the image?,amount-of,building,1742,201+,0.9922620058059692,0.90-1.00,201+,RSVQA Specialist v1,False,
23305,232,count,What is the number of large buildings?,number-of,building,2,1,0.16884954273700714,0.00-0.49,2-5,RSVQA Specialist v1,False,
23310,233,count,What is the amount of medium commercial buildings?,amount-of,building,0,1,0.3259330689907074,0.00-0.49,0,RSVQA Specialist v1,False,
23314,233,count,How many residential buildings are there?,how-many,building,125,201+,0.28898385167121887,0.00-0.49,101-200,RSVQA Specialist v1,False,
23315,233,count,How many small roads are there?,how-many,road,57,116,0.05821051076054573,0.00-0.49,51-100,RSVQA Specialist v1,False,
23317,233,count,How many water areas next to the  commercial building are there?,how-many,water,6,15,0.12841667234897614,0.00-0.49,6-10,RSVQA Specialist v1,False,
23319,233,count,What is the number of roads?,number-of,road,57,116,0.04554472491145134,0.00-0.49,51-100,RSVQA Specialist v1,False,
23324,233,count,What is the amount of grass areas?,amount-of,grassland,231,201+,0.14946109056472778,0.00-0.49,201+,RSVQA Specialist v1,False,
23327,233,count,What is the number of buildings?,number-of,building,126,201+,0.42871859669685364,0.00-0.49,101-200,RSVQA Specialist v1,False,
23328,233,count,What is the number of water areas?,number-of,water,19,31,0.049962740391492844,0.00-0.49,11-20,RSVQA Specialist v1,False,
23329,233,count,What is the amount of commercial buildings?,amount-of,building,1,4,0.2332143932580948,0.00-0.49,1,RSVQA Specialist v1,False,
23332,233,count,What is the number of small commercial buildings?,number-of,building,1,3,0.30033525824546814,0.00-0.49,1,RSVQA Specialist v1,False,
23333,233,count,How many farmlands are there?,how-many,agriculture,1,27,0.07735153287649155,0.00-0.49,1,RSVQA Specialist v1,False,
23335,233,count,What is the amount of forests in the image?,amount-of,forest,23,28,0.041210293769836426,0.00-0.49,21-50,RSVQA Specialist v1,False,
23337,233,count,What is the number of medium water areas?,number-of,water,3,4,0.12334389984607697,0.00-0.49,2-5,RSVQA Specialist v1,False,
23338,233,count,What is the amount of rectangular commercial buildings?,amount-of,building,0,2,0.30727651715278625,0.00-0.49,0,RSVQA Specialist v1,False,
23347,233,count,How many small grass areas are there?,how-many,grassland,27,17,0.07006848603487015,0.00-0.49,21-50,RSVQA Specialist v1,False,
23356,233,count,What is the number of rectangular water areas in the image?,number-of,water,3,10,0.18144196271896362,0.00-0.49,2-5,RSVQA Specialist v1,False,
23365,233,presence,Is there a rectangular commercial building?,is-there,building,no,yes,0.9757793545722961,0.90-1.00,n/a,RSVQA Specialist v1,False,
23373,233,comp,Are there less grass areas than buildings?,less-than,grassland vs building,no,yes,0.8955003023147583,0.75-0.89,n/a,RSVQA Specialist v1,False,
23375,233,count,What is the amount of small residential buildings?,amount-of,building,119,201+,0.19531133770942688,0.00-0.49,101-200,RSVQA Specialist v1,False,
23379,233,count,How many small buildings are there?,how-many,building,120,201+,0.3535138964653015,0.00-0.49,101-200,RSVQA Specialist v1,False,
23381,233,count,What is the number of medium residential buildings?,number-of,building,6,4,0.20594128966331482,0.00-0.49,6-10,RSVQA Specialist v1,False,
23382,233,comp,Are there less residential buildings than grass areas?,less-than,building vs grassland,yes,no,0.8199456334114075,0.75-0.89,n/a,RSVQA Specialist v1,False,
23390,233,presence,Is a large building present?,present,building,no,yes,0.7761134505271912,0.75-0.89,n/a,RSVQA Specialist v1,False,
23392,233,count,What is the amount of large water areas?,amount-of,water,5,15,0.12472232431173325,0.00-0.49,2-5,RSVQA Specialist v1,False,
23394,233,count,What is the amount of buildings on the left of a  forest?,amount-of,building,126,127,0.03792623057961464,0.00-0.49,101-200,RSVQA Specialist v1,False,
23401,233,comp,Are there less rectangular commercial buildings than square buildings?,less-than,building vs building,yes,no,0.5252528786659241,0.50-0.74,n/a,RSVQA Specialist v1,False,
23405,233,count,What is the amount of rectangular residential buildings?,amount-of,building,77,201+,0.06240122765302658,0.00-0.49,51-100,RSVQA Specialist v1,False,
23406,233,comp,Are there more grass areas than buildings?,more-than,grassland vs building,yes,no,0.7349560856819153,0.50-0.74,n/a,RSVQA Specialist v1,False,
23407,233,count,How many circular water areas are there?,how-many,water,0,2,0.3008584976196289,0.00-0.49,0,RSVQA Specialist v1,False,
23408,234,rural_urban,Is it a rural or an urban area,rural-or-urban,scene,rural,urban,0.9588671326637268,0.90-1.00,n/a,RSVQA Specialist v1,False,
23410,234,count,What is the number of commercial buildings?,number-of,building,2,4,0.30589407682418823,0.00-0.49,2-5,RSVQA Specialist v1,False,
23411,234,count,What is the amount of buildings?,amount-of,building,442,201+,0.9941596984863281,0.90-1.00,201+,RSVQA Specialist v1,False,
23413,234,count,How many water areas are there in the image?,how-many,water,23,31,0.05041918158531189,0.00-0.49,21-50,RSVQA Specialist v1,False,
23414,234,count,What is the number of forests?,number-of,forest,76,40,0.06433450430631638,0.00-0.49,51-100,RSVQA Specialist v1,False,
23420,234,count,What is the number of residential buildings?,number-of,building,440,201+,0.990035891532898,0.90-1.00,201+,RSVQA Specialist v1,False,
23426,234,count,What is the amount of grass areas?,amount-of,grassland,192,201+,0.8719056844711304,0.75-0.89,101-200,RSVQA Specialist v1,False,
23428,234,comp,Are there more grass areas than circular buildings?,more-than,grassland vs building,yes,no,0.6699122190475464,0.50-0.74,n/a,RSVQA Specialist v1,False,
