manifest_index,question_id,image_id,question_type,question,normalized_ground_truth,normalized_prediction,answer,outcome,confidence,task,status,result_status,latency_ms,wording_pattern,target_1,target_2,target_details,relation,failure_category,failure_evidence
2,31611,316,rural_urban,Is it a rural or an urban area,rural,rural,rural,CORRECT,0.5,rural_urban_classification,success,COMPLETED,569.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,,
3,25837,258,count,What is the amount of medium roads next to a  water area?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,1350.0,relational count,roads,water,"[""roads"", ""water""]",,,
4,30957,309,comp,Are there less buildings than roads?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,2210.0,less/fewer,buildings,roads,"[""buildings"", ""roads""]",less/fewer,,
9,23945,239,count,How many large commercial buildings are there?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,1313.0,how many,commercial buildings,,"[""commercial buildings""]",,,
10,25064,250,count,How many rectangular roads are there?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,1298.0,how many,roads,,"[""roads""]",,,
15,31476,314,count,How many rectangular roads are there?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,1351.0,how many,roads,,"[""roads""]",,,
17,27827,278,presence,Is there a building?,yes,yes,yes,CORRECT,0.25,presence_vqa,partial,COMPLETED,469.0,is there,buildings,,"[""buildings""]",,,
18,32302,322,comp,Are there more large roads than water areas?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,2220.0,more/greater,roads,water,"[""roads"", ""water""]",more/greater,,
27,30988,309,comp,Are there more roads than buildings?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,1786.0,more/greater,roads,buildings,"[""roads"", ""buildings""]",more/greater,,
31,26377,263,count,What is the number of large roads?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,1333.0,number of,roads,,"[""roads""]",,,
33,32611,326,rural_urban,Is it a rural or an urban area,urban,urban,urban,CORRECT,0.25,rural_urban_classification,partial,COMPLETED,75.0,rural-or-urban,rural/urban scene,,"[""rural/urban scene""]",,,
36,30715,307,presence,Is there a grass area?,yes,yes,yes,CORRECT,0.25,presence_vqa,partial,COMPLETED,84.0,is there,grass,,"[""grass""]",,,
37,32661,326,count,What is the number of rectangular roads?,0,0,0,CORRECT,0.0,count_vqa,partial,COMPLETED,913.0,number of,roads,,"[""roads""]",,,
39,30433,304,presence,Is there a small grass area?,yes,yes,yes,CORRECT,0.25,presence_vqa,partial,COMPLETED,463.0,is there,grass,,"[""grass""]",,,
41,29390,293,comp,Are there less commercial buildings than water areas?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,2149.0,less/fewer,commercial buildings,water,"[""commercial buildings"", ""water""]",less/fewer,,
44,31412,314,presence,Is there a commercial building in the image?,yes,yes,yes,CORRECT,0.25,presence_vqa,partial,COMPLETED,79.0,is there,commercial buildings,,"[""commercial buildings""]",,,
45,29023,290,presence,Is there a medium grass area?,yes,yes,yes,CORRECT,0.25,presence_vqa,partial,COMPLETED,476.0,is there,grass,,"[""grass""]",,,
46,27760,277,comp,Are there more square buildings than commercial buildings?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,1407.0,more/greater,buildings,commercial buildings,"[""buildings"", ""commercial buildings""]",more/greater,,
48,32033,320,comp,Are there more water areas than buildings?,no,no,no,CORRECT,0.0,comparison_vqa,partial,COMPLETED,2147.0,more/greater,water,buildings,"[""water"", ""buildings""]",more/greater,,
